nb_people,total_time_to_work,emissions,walkers,bikers,TPG_users,car_users,tax_sum
32155,39475052.57434558,16627.558525630873,8647,4892,9768,8842,133338.19129023363
32161,39156545.254719354,16711.376629194812,8582,4876,9670,9027,133317.21844396228
32167,39570089.22726859,16719.908084275005,8732,4793,9685,8951,133291.8415639096
32173,39399225.36619866,16465.820191137296,8662,4838,9777,8890,133267.11486986183
32179,39388580.27760862,16191.722054030939,8725,4862,9763,8823,133252.03234565118
32185,39538838.0136582,16126.007611993311,8809,4828,9688,8854,133233.30546596102
32191,39525882.822156586,15763.345173085787,8811,4814,9832,8728,133218.88999262988
32197,39747802.88144872,15507.724576135279,8905,4892,9720,8674,133194.0684008572
32203,39653473.87189731,15343.84827122088,8941,4824,9801,8631,133170.22465494066
32209,39235674.43775853,15171.212346047949,8821,4931,9796,8655,133150.3010526832
32215,39491140.71918647,15050.756006960246,8872,4896,9763,8678,133139.2763286992
32221,39627965.747123286,15117.120771141423,8980,4857,9733,8645,133129.2338895991
32227,39433164.15967084,14960.3416758502,8933,4826,9774,8688,133125.3178132542
32233,39705700.995200515,14347.937497643417,9005,4921,9802,8499,133113.8153713047
32239,39477990.20708311,14602.873318462749,8956,4796,9847,8634,133103.72752141574
32245,39300790.68422195,14583.108297195971,8918,4767,9945,8609,133086.56849930494
32251,39516597.0399598,14502.374054293492,8987,4934,9767,8557,133072.94462227297
32257,39623094.85202662,14486.857803233563,9000,4828,9862,8561,133060.2923389898
32263,39666795.70291174,14406.795416303308,8989,4847,9930,8491,133046.7711920964
32269,39292100.51712641,14781.083061908514,8920,4894,9764,8685,133030.12416060522
32275,39464064.85391345,14480.332012753424,8993,4849,9871,8556,133008.1579188513
32281,39605987.24898779,14878.978703897139,9034,4802,9707,8732,132992.3340887726
32287,39823526.685575314,14354.116098423146,9027,5014,9757,8483,132972.6371234974
32293,39608429.80444235,14620.317955681732,8997,4932,9791,8567,132963.17557694716
32299,39733564.451438054,14434.790428185104,9033,4874,9827,8559,132955.79408428055
32305,39546597.31660582,14473.735961796448,8963,4890,9879,8567,132944.79225038495
32311,39264310.36636773,14623.76556195856,8878,4908,9905,8614,132926.5932661392
32317,39700042.53146656,14496.303340799324,9015,5021,9753,8522,132905.7407043497
32323,39660409.27335939,14405.871481269498,8960,4864,9931,8562,132890.19795283975
32329,39975344.073278286,14515.853531070416,9109,4913,9739,8562,132871.42237057112
32335,39676244.02046591,14324.030678430798,8991,4978,9847,8513,132850.39183126463
32341,39371664.43469119,14705.004229651147,8918,4893,9905,8619,132835.66353250496
32347,39971584.57519849,14083.114427381925,9057,4934,9973,8377,132816.28926849263
32353,39692967.72804152,14501.038288330275,9021,4834,9878,8614,87855.1978039399
32359,39497187.99652594,14558.50242983152,9009,4744,9980,8620,87846.48773335571
32365,39833489.41731918,14502.858106768279,9092,4876,9833,8558,87830.40442391127
32371,39631360.13154062,14340.06017203797,9037,4941,9893,8494,87814.83160829732
32377,39769295.438892536,14476.433813846827,9079,4941,9844,8507,87803.37100942622
32383,39706997.83263762,14423.230298302555,9025,4932,9850,8570,87795.36756184939
32389,39769093.9263951,14386.89481344086,9047,4972,9807,8557,87783.63937763395
32395,39368546.249710195,14497.14562179144,8956,5017,9741,8675,87766.37572788718
32401,40190282.393802494,14132.50408675073,9212,4912,9793,8478,87762.11334970861
32407,39617581.98521169,14389.046956040096,9025,4938,9861,8577,87746.51089284681
32413,39653361.458466716,14493.057686010257,9058,4971,9757,8621,87742.73515753073
32419,39699421.442041025,14404.96954682274,9099,4780,9929,8605,87729.780003871
32425,39852080.458185814,14494.65029036939,9147,4877,9753,8642,87720.0822976179
32431,39887192.72998656,14263.199098433433,9133,4955,9839,8498,87713.88750811167
32437,40039765.17833311,14404.477994024823,9207,4868,9804,8552,87699.68149333243
32443,39762297.39916441,14485.296334503475,9103,4831,9855,8648,87694.00919015538
32449,40044961.71935111,14313.236917127513,9196,4864,9856,8527,87686.68535689019
32455,40217385.033661775,14009.27607605992,9188,4904,9948,8409,87666.96536246357
32461,40097219.16388445,14252.533382408721,9214,4848,9880,8513,87648.00409491338
32467,39781681.16171185,14414.63500404798,9109,4963,9781,8608,87630.04932429655
32473,39849206.93231428,14268.814979849258,9133,4865,9929,8540,87619.39236776673
32479,40059520.24978548,13955.604816782426,9102,5014,9945,8412,87611.48693563376
32485,39765895.91316109,14343.95802413451,9119,4840,9930,8590,87593.25681766948
32491,40214532.42256226,14308.796779895643,9240,4845,9815,8585,87573.86522569352
32497,39959748.95847702,14317.182887253353,9166,4950,9857,8518,87565.1141703539
32503,40177929.70336445,14406.027564514907,9187,4982,9710,8618,87556.8211670187
32509,40282616.59330988,14184.497593648322,9212,4988,9793,8510,87536.92540381958
32515,39808638.98744131,14175.917516857045,9047,4995,9921,8546,87530.7137567411
32521,39945745.79161872,14040.712309684539,9081,4840,10138,8456,87515.46824886222
32527,39825904.008990735,14410.082952581006,9109,4943,9874,8595,87499.24356406773
32533,40049293.317732096,14309.412624555036,9153,5017,9827,8530,87488.32429305148
32539,39788343.02102912,14499.671415607498,9112,4965,9803,8653,87484.08888169684
32545,40060762.044414185,14055.555775522082,9133,4938,9974,8494,87471.66428724877
32551,40301450.442130215,14043.115256255229,9210,4861,10044,8430,87463.17786061483
32557,40303666.94681702,14314.8668065904,9252,4865,9878,8556,87443.29698799866
32563,40188822.47610276,14040.111367105219,9153,4970,10013,8421,87433.45387231073
32569,40067145.69041784,14166.668327043904,9133,5048,9842,8540,87416.27396031797
32575,40443073.26704616,14243.68601330443,9226,4932,9862,8549,87395.45084912152
32581,39896918.43380114,14257.625208119629,9116,5002,9922,8535,87381.16302224396
32587,40278305.7681624,14087.644601014146,9185,4909,10048,8439,87360.55498453032
32593,40137356.94515498,14224.036260101959,9173,4932,9970,8512,87346.91901730244
32599,40655162.89175991,14122.959639761042,9304,4820,9965,8504,87322.53526001757
32605,40300016.133883804,14192.48864170631,9209,4991,9855,8544,87314.66810273025
32611,40399348.185543634,14015.994749889736,9232,5015,9931,8427,87295.98678590536
32617,40383321.78616634,14087.209482288044,9185,5041,9886,8499,87282.8836039722
32623,39829238.38617537,14114.05312634939,9054,5128,9932,8503,87267.12216693968
32629,40338221.89338604,14123.329564135352,9231,4935,9968,8489,87245.54294968167
32635,40202905.04337634,14218.34604948189,9194,4910,9993,8532,87218.05709245971
